Year,avg_temp,max_temp,min_temp,rainfall_anom,rainfall,day_cloud,drough_index,lightning_count,hails_count,rain_avg,tornado_count,waterspouts_count,wind_speed_avg,diff,rise_year
1910,-0.5,-0.7,-0.31,69.53,535.56,0.0,1.2198642168731897,1.0,14.0,73.5,8.0,0.0,0.0,0.0,0.0
1911,-0.68,-0.51,-0.87,-29.1,436.93,0.0,2.2315434648435644,1.0,11.0,44.0,5.0,0.0,0.0,0.0,0.0
1912,-0.2,0.01,-0.42,-81.24,384.8,0.0,1.6567915301713905,2.0,23.0,25.5,3.0,0.0,0.0,0.0,0.0
1913,-0.87,-0.7,-1.05,-21.11,444.92,0.0,-1.230119166310592,10.0,19.0,55.81818181818182,10.0,0.0,0.0,0.0,0.0
1914,0.12,0.19,0.04,-41.01,425.02,0.0,-0.40127237335612215,6.0,9.0,54.705882352941174,8.0,0.0,0.0,0.0,0.0
1915,0.07,0.21,-0.07,-84.19,381.84,0.0,-1.2339172957318523,0.0,4.0,6.25,2.0,0.0,0.0,0.0,0.0
1916,-0.57,-0.77,-0.39,64.56,530.59,0.0,1.09585529126905,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1917,-1.24,-1.43,-1.07,111.97,578.01,0.0,2.456914969377582,3.0,4.0,25.0,2.0,1.0,0.0,0.0,0.0
1918,-0.54,-0.33,-0.77,-35.19,430.84,0.0,1.0546930636661445,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
1919,-0.15,0.02,-0.33,-100.01,366.02,0.0,-3.511323173337132,0.0,2.0,17.25,2.0,1.0,0.0,0.0,0.0
1920,-0.53,-0.81,-0.25,48.53,514.56,0.0,0.21919954422446897,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
1921,-0.23,-0.43,-0.04,84.39,550.43,0.0,1.4550159046669513,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
1922,-0.47,-0.21,-0.75,-49.83,416.21,0.0,-3.0585386697051704,3.0,1.0,9.666666666666666,3.0,1.0,0.0,0.0,0.0
1923,-0.38,-0.17,-0.61,-54.71,411.33,0.0,0.5016142050040356,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0
1924,-0.69,-0.51,-0.89,-56.76,409.28,0.0,-1.7448606561268578,9.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
1925,-0.77,-0.61,-0.94,-44.67,421.37,0.0,-0.17162797322318749,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
1926,-0.17,0.04,-0.4,-52.33,413.71,0.0,-0.03456297773346636,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0
1927,-0.51,-0.27,-0.77,-48.31,417.73,0.0,-2.2812514836443056,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
1928,0.16,0.43,-0.11,-105.64,360.39,0.0,-2.033091202582728,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1929,-0.87,-0.62,-1.13,-87.57,378.47,0.0,-3.0684138062004465,1.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0
1930,-0.24,-0.31,-0.19,24.91,490.94,0.0,1.2750320467169918,4.0,4.0,5.625,5.0,0.0,0.0,0.0,0.0
1931,-0.59,-0.58,-0.6,-30.11,435.92,0.0,2.027488961686369,4.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0
1932,-0.42,-0.32,-0.53,-79.89,386.14,0.0,-0.26980961876275944,2.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0
1933,-0.45,-0.52,-0.4,-21.52,444.51,0.0,-2.174476570289133,1.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0
1934,-0.36,-0.43,-0.31,-27.45,438.58,0.0,-0.4102929307316146,4.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0
1935,-0.5,-0.33,-0.67,-116.33,349.7,0.0,-1.5631676399373309,14.0,60.0,0.0,5.0,3.0,0.0,0.0,0.0
1936,-0.14,-0.03,-0.26,-61.56,404.48,0.0,3.082466885059109,10.0,22.0,38.75,4.0,0.0,0.0,0.0,0.0
1937,-0.36,-0.17,-0.56,-80.22,385.81,0.0,-1.3226985709538053,5.0,16.0,5.0,6.0,0.0,0.0,0.0,0.0
1938,0.19,0.32,0.04,-102.33,363.7,0.0,-0.8854863979490103,4.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0
1939,-0.62,-0.8,-0.45,26.35,492.39,0.0,2.0543132507240185,3.0,3.0,96.0,3.0,0.0,0.0,0.0,0.0
1940,-0.24,0.16,-0.64,-70.61,395.42,0.0,-2.3749228504961306,0.0,7.0,13.0,7.0,0.0,0.0,0.0,0.0
1941,-0.55,-0.67,-0.44,14.35,480.39,0.0,-2.7321369225656364,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
1942,0.08,0.04,0.1,64.76,530.8,0.0,-0.6378008830650904,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1943,-0.62,-0.38,-0.88,-76.5,389.53,0.0,0.22418458908987324,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0
1944,-0.4,-0.04,-0.77,-85.47,380.56,0.0,-1.491430470493282,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
1945,-0.29,-0.18,-0.42,-56.06,409.97,0.0,-1.1583345202487774,0.0,5.0,38.0,8.0,0.0,0.0,0.0,0.0
1946,-0.73,-0.28,-1.2,-58.92,407.11,0.0,-0.9531880548829701,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
1947,-0.25,-0.4,-0.12,34.1,500.14,0.0,2.246878412381902,2.0,6.0,51.0,3.0,0.0,0.0,0.0,0.0
1948,-0.45,-0.08,-0.84,-80.56,385.48,0.0,-1.5833452024877746,0.0,1.0,17.0,6.0,0.0,0.0,0.0,0.0
1949,-0.94,-0.88,-1.03,10.91,476.95,0.0,2.436642453591606,1.0,9.0,2.3333333333333335,5.0,0.0,0.0,0.0,0.0
1950,-0.61,-0.77,-0.45,161.46,627.49,0.0,1.7196030954754786,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
1951,-0.43,-0.13,-0.73,-96.76,369.27,0.0,-0.40867872572757924,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0
1952,-0.43,-0.28,-0.59,-82.03,384.01,0.0,-0.012130275839149052,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0
1953,-0.45,-0.22,-0.69,-39.9,426.13,0.0,-0.5538622228552439,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
1954,-0.36,-0.32,-0.41,-5.49,460.55,0.0,1.2969187675070029,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1955,-0.32,-0.72,0.07,107.14,573.18,0.0,3.2237098229122156,0.0,1.0,18.75,13.0,0.0,0.0,0.0,0.0
1956,-0.92,-1.11,-0.74,135.26,601.3,0.0,3.083511370649955,1.0,1.0,41.5,7.0,0.0,0.0,0.0,0.0
1957,0.04,0.38,-0.31,-77.36,388.68,2.98,-1.955134596211366,0.0,6.0,220.0,17.0,0.0,0.0,0.0,0.0
1958,0.14,0.11,0.15,-47.47,418.56,3.3,0.2807292408488821,0.0,6.0,19.266666666666666,9.0,0.0,0.0,0.0,0.0
1959,0.24,0.23,0.24,-51.67,414.37,3.13,0.054930446754973196,0.0,9.0,30.9,17.0,0.0,0.0,0.0,0.0
1960,-0.66,-0.7,-0.63,-7.64,458.4,3.13,1.6643403123961449,1.0,12.0,24.0,6.0,0.0,0.0,0.0,0.0
1961,0.05,0.29,-0.21,-129.9,336.14,2.67,-1.277500830840811,0.0,6.0,48.1,9.0,0.0,0.0,0.0,0.0
1962,-0.11,-0.08,-0.16,-29.61,436.42,3.04,0.45411384892940215,3.0,3.0,8.5,9.0,0.0,0.0,0.0,0.0
1963,-0.13,-0.32,0.04,9.55,475.58,3.23,-0.17580591558657369,0.0,17.0,28.526666666666664,8.0,0.0,0.0,0.0,0.0
1964,-0.22,-0.21,-0.23,-40.04,425.99,3.01,-2.507240184209276,1.0,13.0,6.35,20.0,0.0,0.0,0.0,0.0
1965,0.25,0.41,0.09,-120.32,345.72,2.96,-2.6443526563167636,5.0,4.0,32.58181818181818,8.0,0.0,0.0,0.0,0.0
1966,-0.5,-0.56,-0.46,-68.47,397.56,3.03,-2.623225561411005,1.0,16.0,15.8,13.0,0.0,0.0,0.0,0.0
1967,-0.22,-0.11,-0.36,-37.15,428.88,2.94,0.11560556425960215,0.0,14.0,34.625,10.0,0.0,0.0,0.0,0.0
1968,-0.39,-0.67,-0.11,78.5,544.54,3.34,1.2026776812419884,0.0,13.0,15.13888888888889,8.0,0.0,0.0,0.0,0.0
1969,-0.03,0.15,-0.22,-55.24,410.8,2.91,-1.0874519299245122,1.0,21.0,30.307692307692307,4.0,0.0,0.0,0.0,0.0
1970,-0.1,0.15,-0.37,-85.63,380.41,2.96,-2.871670702179177,1.0,20.0,8.466666666666667,7.0,0.0,0.0,0.0,0.0
1971,-0.22,-0.25,-0.2,20.3,486.33,3.28,0.5117029862792576,0.0,42.0,22.458333333333332,8.0,0.0,0.0,0.0,0.0
1972,0.15,0.44,-0.14,-103.78,362.26,2.89,-2.742107012296444,0.0,23.0,7.4,9.0,0.0,0.0,0.0,0.0
1973,0.54,0.07,0.99,175.07,641.11,3.61,1.3036129706119735,1.0,26.0,29.922222222222224,14.0,0.0,0.0,0.0,0.0
1974,-0.7,-1.04,-0.37,294.54,760.57,3.68,3.5292693348525845,1.0,17.0,92.7,3.0,0.0,0.0,0.0,0.0
1975,-0.22,-0.29,-0.16,127.75,593.78,3.46,2.1492190096377537,2.0,13.0,12.625,8.0,0.0,0.0,0.0,0.0
1976,-0.75,-0.53,-0.99,56.92,522.95,3.14,2.6328633148174525,2.0,30.0,11.799999999999999,7.0,0.0,0.0,0.0,0.0
1977,-0.04,0.17,-0.25,3.83,469.86,3.1,-0.4797512225229075,3.0,18.0,14.20909090909091,5.0,0.0,0.0,0.0,0.0
1978,-0.31,-0.5,-0.12,51.35,517.39,3.44,0.6340977068793618,0.0,29.0,29.12857142857143,9.0,0.0,0.0,0.0,0.0
1979,0.37,0.44,0.3,-14.23,451.81,3.24,2.8033043725964966,5.0,26.0,16.25,5.0,0.0,0.0,0.0,0.0
1980,0.74,0.93,0.54,-36.28,429.75,3.01,-0.7001851588092863,3.0,17.0,16.555555555555557,3.0,0.0,0.0,0.0,0.0
1981,0.27,0.18,0.36,61.31,527.34,3.33,2.037459051417177,1.0,21.0,2.142857142857143,5.0,0.0,0.0,0.0,0.0
1982,-0.04,0.21,-0.29,-50.9,415.14,3.02,-1.7319470160945734,0.0,25.0,34.3,3.0,0.0,0.0,0.0,0.0
1983,0.33,0.15,0.5,26.95,492.99,3.34,-0.649670037506528,3.0,28.0,29.699999999999996,15.0,0.0,0.0,0.0,0.0
1984,-0.38,-0.45,-0.33,80.42,546.45,3.21,2.7822722309262686,1.0,16.0,29.516666666666666,8.0,0.0,0.0,0.0,0.0
1985,0.21,0.3,0.1,-68.5,397.53,3.09,-0.6615391919479655,1.0,30.0,13.62,6.0,0.0,0.0,0.0,0.0
1986,0.22,0.17,0.25,-80.1,385.94,3.12,1.1807909604519773,0.0,25.0,36.6,9.0,0.0,0.0,0.0,0.0
1987,0.17,0.12,0.22,-15.95,450.08,3.27,2.9191947965626928,1.0,28.0,25.466666666666665,14.0,0.0,0.0,0.0,0.0
1988,0.73,0.64,0.82,-11.77,454.26,3.09,2.4985044865403787,2.0,33.0,22.27777777777778,9.0,0.0,0.0,0.0,0.0
1989,-0.02,-0.23,0.18,14.27,480.3,3.24,1.7855006409343395,0.0,37.0,43.80952380952381,12.0,1.0,0.0,0.0,0.0
1990,0.47,0.37,0.56,-52.87,413.17,3.13,0.19636329107914352,0.0,87.0,23.29310344827586,10.0,0.0,0.0,0.0,0.0
1991,0.6,0.71,0.47,-5.22,460.81,2.95,-2.3600151925176847,3.0,64.0,24.209302325581394,13.0,0.0,0.0,0.0,0.0
1992,0.12,-0.14,0.37,-18.13,447.91,3.28,0.06466315339695201,7.0,112.0,26.19254658385093,21.0,0.0,0.0,0.0,0.0
1993,0.31,0.08,0.53,21.92,487.96,3.29,2.429520960926744,22.0,149.0,15.09216589861751,14.0,0.0,0.0,7.4600000000000035,7.4600000000000035
1994,0.18,0.65,-0.3,-127.36,338.68,2.65,-2.0840336134453783,18.0,82.0,21.011650485436892,17.0,0.0,0.0,13.660000000000005,6.199999999999998
1995,0.16,-0.05,0.36,52.12,518.15,3.36,-0.19413189004415324,15.0,130.0,30.103553299492383,29.0,0.0,0.0,11.860000000000005,-1.8000000000000007
1996,0.6,0.64,0.55,-3.78,462.26,3.09,1.075487822247543,7.0,102.0,45.426506024096376,15.0,1.0,0.0,10.240000000000002,-1.620000000000001
1997,0.3,0.24,0.35,48.13,514.17,3.33,0.42586526135878106,5.0,101.0,53.257894736842104,17.0,0.0,0.25675675675675674,17.240000000000002,7.0
1998,0.97,0.66,1.27,82.82,548.86,3.47,0.8720979917390684,2.0,74.0,55.14949494949495,23.0,0.0,0.0,12.080000000000002,-5.16
