Year,CO2(ppm),global_anom,sea_level
1958,232.269,0.26,
1959,315.9816666666667,0.23,
1960,316.90916666666664,0.17,
1961,317.6433333333334,0.26,
1962,318.4541666666667,0.23,
1963,318.9925,0.25,
1964,214.40416666666667,0.0,
1965,320.0366666666667,0.09000000000000001,
1966,321.3691666666666,0.14,
1967,322.18083333333334,0.18000000000000002,
1968,323.05,0.12,
1969,324.6216666666666,0.25,
1970,325.6816666666667,0.23,
1971,326.31916666666666,0.12,
1972,327.45666666666665,0.21,
1973,329.67749999999995,0.36,
1974,330.2441666666667,0.13,
1975,331.1525,0.19,
1976,332.1525,0.1,
1977,333.9008333333333,0.38,
1978,335.5058333333333,0.27,
1979,336.85083333333336,0.36,
1980,338.68416666666667,0.46,
1981,339.93333333333334,0.52,
1982,341.13166666666666,0.34,
1983,342.7816666666667,0.51,
1984,344.42083333333335,0.36,
1985,345.9025000000001,0.32,
1986,347.15333333333336,0.38,
1987,348.93333333333334,0.52,
1988,351.48500000000007,0.5900000000000001,
1989,352.90916666666664,0.47,
1990,354.1858333333333,0.65,
1991,355.59083333333336,0.61,
1992,356.3733333333333,0.42,0.0
1993,357.04166666666674,0.4300000000000001,7.4600000000000035
1994,358.8858333333333,0.52,13.660000000000005
1995,360.8766666666666,0.65,11.860000000000005
1996,362.6408333333333,0.53,10.240000000000002
1997,363.76416666666665,0.66,17.240000000000002
1998,366.63000000000005,0.81,12.080000000000002
1999,368.3125,0.5800000000000001,20.950000000000006
2000,369.47416666666663,0.5900000000000001,22.820000000000004
2001,371.02,0.74,27.21
2002,373.0958333333333,0.8300000000000001,31.940000000000005
2003,375.6366666666666,0.8200000000000001,32.300000000000004
2004,377.3633333333334,0.74,41.02
2005,379.6025,0.8800000000000001,40.69000000000001
2006,381.80749999999995,0.8400000000000001,41.18000000000001
2007,383.5925,0.8700000000000001,37.52
2008,385.4491666666667,0.75,41.74
2009,387.35999999999996,0.8600000000000001,52.99
2010,389.90083333333337,0.92,46.11
2011,391.6483333333333,0.81,50.49
2012,393.87000000000006,0.8500000000000001,63.02
2013,396.5666666666666,0.8800000000000001,61.07000000000001
2014,398.6141666666667,0.95,68.14
2015,400.88500000000005,1.1,75.03
2016,404.2775000000001,1.22,75.29
2017,406.585,1.13,79.19
2018,408.5883333333333,1.05,82.34
2019,411.49499999999995,1.19,88.06
2020,414.00666666666666,1.22,94.41
2021,415.24,1.2188659023835564,91.95214183673897
2022,429.0654974073851,1.253587381750135,112.64213317827557
2023,432.0934276220951,1.281208201956654,117.20797118921473
2024,435.1210596947988,1.308826302507776,121.77335962965253
2025,438.14869176750256,1.336444403058898,126.33874807009033
2026,441.17632384020635,1.3640625036100205,130.90413651052825
2027,444.2039559129101,1.3916806041611425,135.46952495096605
2028,447.23188612762,1.4193014243676614,140.0353629619051
2029,450.2595182003238,1.4469195249187834,144.600751402343
2030,453.2868521310213,1.474534905814509,149.16569027227945
2031,457.3809381598119,1.5118812137187936,155.3391923957745
2032,461.47472604659623,1.5492248019676818,161.51224494876828
2033,465.5685139333806,1.58656839021657,167.68529750176208
2034,469.662301820165,1.623911978465458,173.85835005475587
2035,473.7560897069493,1.6612555667143463,180.03140260774956
2036,477.8498775937337,1.6985991549632349,186.20445516074346
2037,481.9439636225242,1.735945462867519,192.3779572842385
2038,486.03745336730236,1.7732863314610103,198.55056026673094
2039,490.13153939609293,1.8106326393652954,204.72406239022598
2040,494.22502914087113,1.8479735079587867,210.89666537271853
2041,498.78242784725705,1.8895461603491812,217.7688000551933
2042,503.33952841163693,1.9311160930841789,224.64048516716707
2043,507.8966289760167,1.9726860258191765,231.51217027914072
2044,512.4537295403965,2.0142559585541746,238.38385539111425
2045,517.0108301047762,2.0558258912891723,245.2555405030878
2046,521.5679306691561,2.09739582402417,252.12722561506155
2047,526.1250312335359,2.138965756759168,258.9989107270352
2048,530.6824299399218,2.180538409149562,265.87104540951
2049,535.2386360782831,2.2221001829183704,272.74138180997977
2050,539.7972273526938,2.2636837139303507,279.6153147744599
2051,544.114323602103,2.303064324071193,286.1250956329079
2052,548.4314198515121,2.342444934212035,292.63487649135584
2053,552.7455346808596,2.3817983477989118,299.1401616447912
2054,557.0626309302688,2.4211789579397536,305.64994250323923
2055,561.379727179678,2.4605595680805954,312.15972336168727
2056,565.6968234290872,2.4999401782214377,318.6695042201353
2057,570.0139196784963,2.5393207883622795,325.17928507858323
2058,574.3310159279056,2.5787013985031213,331.6890659370314
2059,578.6481121773147,2.618082008643963,338.1988467954793
2060,582.9622270066621,2.6574354222308405,344.70413194891455
2061,585.8363159461859,2.6836529002527816,349.03799158119625
2062,588.7104048857097,2.7098703782747235,353.37185121347807
2063,591.5844938252335,2.736087856296665,357.70571084575965
2064,594.4585827647574,2.762305334318607,362.03957047804147
2065,597.3326717042812,2.788522812340549,366.37343011032317
2066,600.206760643805,2.8147402903624905,370.70728974260487
2067,603.0808495833287,2.8409577683844325,375.04114937488646
2068,605.9549385228526,2.867175246406374,379.3750090071683
2069,608.8260460423146,2.893365527874351,383.7043729344372
2070,611.7001349818383,2.9195830058962926,388.03823256671876
2071,613.6171880815415,2.9370703900955752,390.92897088991094
2072,615.5312597611829,2.9545305777408934,393.8152135080903
2073,617.448312860886,2.972017961940176,396.7059518312823
2074,619.3623845405274,2.989478149585494,399.59219444946166
2075,621.2764562201687,3.006938337230812,402.4784370676409
2076,623.1935093198719,3.0244257214300947,405.369175390833
2077,625.1075809995132,3.0418859090754125,408.25541800901215
2078,627.0246340992163,3.059373293274695,411.1461563322043
2079,628.9387057788576,3.076833480920013,414.0323989503835
2080,630.8557588785608,3.0943208651192955,416.92313727357566
2081,632.2719334078905,3.1072392282525145,419.05859715462736
2082,633.6881079372201,3.1201575913857327,421.19405703567895
2083,635.1042824665498,3.133075954518951,423.32951691673054
2084,636.5204569958795,3.145994317652169,425.46497679778236
2085,637.9396129452708,3.158939877339351,427.60493238384663
2086,639.3557874746006,3.17185824047257,429.74039226489833
2087,640.7719620039303,3.1847766036057883,431.87585214595015
2088,642.1881365332599,3.197694966739006,434.01131202700174
2089,643.6043110625895,3.2106133298722246,436.1467719080533
2090,645.0204855919192,3.2235316930054423,438.2822317891049
2091,645.5571412030337,3.228427072719083,439.0914586913983
2092,646.0908153940863,3.2332952558787587,439.8961898886789
2093,646.6274710052007,3.2381906355924,440.7054167909721
2094,647.1611451962533,3.2430588187520746,441.51014798825247
2095,647.6978008073677,3.2479541984657154,442.31937489054576
2096,648.2314749984204,3.2528223816253914,443.12410608782636
2097,648.765149189473,3.2576905647850674,443.92883728510685
2098,649.3018048005874,3.262585944498708,444.73806418740014
2099,649.8354789916401,3.267454127658384,445.54279538468063
2100,650.3721346027545,3.272349507372025,446.3520222869739
