Hail ID,Date/Time,Latitude,Longitude,Nearest town,State,Hail size,Comments,
59,1900-11-10 05:55:00,-30.6333,151.5000,URALLA,NSW,5.0, SOME HAILSTONES LARGER THAN HEN'S EGGS (3-5CM),
60,1900-12-03 05:00:00,-34.6333,148.0333,COOTAMUNDRA,NSW,0.0," HAIL - LUMPS OF ICE LIKE SLUGS, CROPS LEVELLED",
61,1900-12-04 04:10:00,-35.0000,148.1167,WOODBURN(3)/COOTAMUNDRA,NSW,0.0," HOUSES UNROOFED, LARGE TREES SNAPPED OFF, DAMAGE 3/4 MILE WIDE, HAIL DESTROYS CROPS",
62,1901-01-21 02:10:00,-34.4667,149.4833,CROOKWELL/WOODHOUSELEE,NSW,4.0," HAIL PIERCED IRON ROOFS (TAKE AS >=4 CM), KILLED SHEEP WALLABIES ETC, STRIPPED FOLIAGE, RIVER FLOODED, RAIN ES",
63,1901-11-14 14:00:00,-35.3000,148.4000,ARGALONG,NSW,2.5, HAIL,
64,1901-11-14 14:00:00,-35.4000,147.5833,BOOK BOOK (SW TARCUTTA),NSW,5.5, HAIL AS LARGE AS TURKEYS EGGS,
65,1901-12-31 14:00:00,-34.8667,147.5833,JUNEE,NSW,0.0," SLWS,DAMAGE PATH 60 MILES LONG BY 1 MILE WIDE,HAIL IN 1'DRIFTS,TORE ROOF OFF GRAIN SHED,NAR-OLD JUN",
66,1902-03-12 14:00:00,-35.8667,149.4167,HOMELEIGH (NE OF COOMA),NSW,4.0," HAIL 5.25" CIRCUMFERENCE,
67,1902-06-02 14:00:00,-33.8834,151.2167,CROYDEN,NSW,0.0, HEAVY HAIL SEVERAL FEET DEEP IN DRIFTS,
68,1902-09-26 04:55:00,-31.4333,150.6667,QUIPOLLY,NSW,0.0," HAIL IN 2' DRIFTS 1 MILE AWAY, 1.45"/20 MIN - 2.65"/2 HR",
69,1902-09-26 08:50:00,-34.1500,147.3833,BARMEDMAN,NSW,2.0," RAIN CAUSED FLOODING IN STREETS (ONLY 18 MM ?), HAIL BROKE WINDOWS - TAKE AS AT LEAST 2 CM",
