Tornado ID,Date/Time,Latitude,Longitude,Nearest town,State,Duration,Max speed (km/h),Fujita scale,Comments,
55,1900-02-22 14:00:00,-30.8167,152.5167,BELLBROOK,NSW,0,63,0," TORNADO, UNROOFS SEVERAL BLDNGS, DAMAGES TELEGRAPH LINES",
56,1900-12-03 08:30:00,-29.8000,149.7833,KILGOWLA AND NARRABRI,NSW,0,63,0," HOUSES UNROOFED, TREES UPROOTED, STORM PATH 200 YDS WIDE",
57,1900-12-04 04:10:00,-35.0000,148.1167,WOODBURN(3)/COOTAMUNDRA,NSW,0,63,0," HOUSES UNROOFED, LARGE TREES SNAPPED OFF, DAMAGE 3/4 MILE WIDE, HAIL DESTROYS CROPS",
58,1901-01-01 07:00:00,-29.8667,150.5667,BINGARA,NSW,0,63,0," UNROOFED HOUSES, UPROOTED TREES",
59,1901-11-20 07:00:00,-33.8667,144.8834,THE CUBAS (W OF BOOLIGAL),NSW,0,63,0," TORNADO, CONSIDERABLE DAMAGE TO ROOFS, CARRIED AWAY IRON AND TIMBER BODILY",
60,1901-12-31 14:00:00,-30.4000,145.5000,GUNDABOOKA,NSW,0,63,0," TORNADO, DAY NOT RIGHT OCCURRED BETWEEN THE 1ST AND 8TH, UNROOFED HALF OF BARN, ROTATION IN CLOUD",
61,1902-01-14 14:00:00,-30.3333,149.7833,NARRABRI,NSW,0,63,0," TORNADO, DAY WAS NOT SPECIFIED",
62,1902-09-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,63,0," TORNADO, DAY NOT GIVEN",
63,1902-09-26 14:00:00,-35.0000,146.1000,BROWLEY/WOODLAND PARK,NSW,0,63,0," UPROOTED TREES, TORE UP GROUND/FENCES, LASTED A FEW MINUTES",
64,1902-10-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,63,0," TORNADO, DAY NOT GIVEN",
65,1902-11-08 04:00:00,-33.5000,148.5000,GOOLAGONG/CANOWINDRA,NSW,0,63,0," TORNADO, CONSIDERABLE DAMAGE TO STANDING TIMBER FENCES SHEDS ETC",
66,1902-11-22 14:00:00,-32.8500,145.8834,MOUNT HOPE,NSW,0,63,0," TORNADO, UNROOFED SEVERAL VERANDAHS",
67,1902-12-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,63,0," TORNADO, DAY UNCERTAIN",
68,1903-01-14 05:00:00,-34.0167,150.6833,COBBITTY,NSW,0,63,0," TORNADO, HOUSES AND FARM BUILDINGS BLOWN DOWN",
69,1903-01-22 09:00:00,-29.5833,152.7333,RAMORNIE,NSW,0,63,0," LASTED 5 MINS, UNROOFED HOUSE, BROKE 100'S TREES, NARROW DAMAGE PATH, ROARING NOISE ABT 10 MILES SW",
70,1903-04-14 14:00:00,-34.6333,148.0333,COOTAMUNDRA,NSW,0,63,0, TORNADO,
