Waterspout ID,Date/Time,Latitude,Longitude,Duration,Number of Spouts,Damage total,Comments,
1,2009-04-20 03:10:00,-29.1800,153.4000,0,1,, ,
2,2009-05-02 08:30:00,-33.3410,151.5080,0,1,,Very few details given except that it started over the water then came in over land where it damaged some caravans. ,
3,2009-06-02 07:00:00,-34.1080,151.1680,0,1,,Report of waterspout from near the Royal National Park. ,
4,2009-05-28 02:20:00,-33.7500,151.3270,0,1,,Photo received of waterspout off DeeWhy beach. ,
5,2009-05-30 01:00:00,-33.6500,151.3280,0,2,,Richard from SAMU passed on that 2 waterspouts had been seen. Chris Webb saw one out of office window that looked northwest. This was backed up by a spotter from the northern beaches who watched a waterspout as it headed to the northwest. ,
6,2008-07-07 06:30:00,-33.7000,151.3280,20,1,,Warterspout was approx 1km off the point at the northern end of Curl Curl beach and lasted about 20mins. ,
7,2009-05-31 00:00:00,-28.7000,114.6000,0,1,,"A member of the public reported seeing a waterspout off the coast just north of Geraldton during the afternoon (no specific time given). A member of the public reported seeing a waterspout off the coast just north of Geraldton during the afternoon (no specific time given). Geraldton radar showed convective cells in the area in the afternoon, however the radar outage during wind find mode may have resulted in the cell that spawned the waterspout not being detected.",
8,2002-01-14 02:20:00,-27.4360,153.1690,0,0,,A waterspout was reported raising debris from mangrove swamp near Wynnum. A significant number of reports of waterspouts in Moreton Bay were received. The waterspouts were associated with a line of showers moving north through the Bay. A funnel cloud was reported from Brisbane Airport and another was reported from Wynnum raising debris from mangrove swamp.,
9,2009-10-05 21:00:00,-33.8485,151.2512,0,1,,Waterspout reported out the heads of Sydney Harbour by ABC 702 radio.  Lat lon from www.ga.gov.au for Sydney Harbour. LGA: Sydney ,
10,2010-05-10 07:00:00,-40.9650,145.8900,3,1,,"Observed from Loongana Avenue, Shorewell Park in Burnie. Some distance out to sea but not as far as the horizon.  NULL",
11,2004-01-30 00:00:00,-24.7007,153.2824,0,2,,"A yacht encountered a severe storm which produced five funnel clouds and two waterspouts off Sandy Cape (see enclosed article). Yet another line of severe thunderstorms moved across southeast Queensland. Widespread damage resulted, particularly in the Brisbane (wind) and Gympie (hail) areas. A tornado was sighted near Beenleigh. The roof of an entire unit block at New Farm was torn off. Two young girls were injured by a falling tree on a university campus at St Lucia. Measured wind gusts included Cape Moreton â€“ 55 knots (102 km/h), Cleveland â€“ 59 knots (109 km/h), and Banana Bank â€“ 66 knots (122 km/h). More than 100,000 homes and businesses were blacked out. Elsewhere golf ball hail occurred at Stanthorpe and Woodford, while hail to cricket ball size caused considerable damage at Gympie.",
14,2010-12-17 00:00:00,-28.0000,153.5000,0,1,,Waterspout observed off the Gold Coast. 3cm hail and many tree branches snapped at Biddeston (west of Toowoomba). 1-2cm hail and trees down at Highfields (north of Toowoomba). Small hail reported at Currumbin at 4:20pm. Waterspout observed off the Gold Coast. Trees down at Crows Nest at 4:00pm. 104km/hr wind gust recorded at Inner Beacon at 5:54pm. 54mm of rainfall in 30 minutes (10-20 year ARI) at Wolffdene (near Beenleigh) on the Albert River at 6:55pm.,
15,2011-04-12 04:30:00,-37.8559,144.9049,0,0,,Funnel cloud observed from VRO-RFC and confirmed by storm spotter who observed waterspout near Williamstown. NULL,
16,2010-09-28 00:00:00,-20.0000,148.9000,0,3,,3 well defined water spouts reported in waters east of Hayman Island during the morning. (aviation operator via Townsville WSO) 3 well defined water spouts reported in waters east of Hayman Island during the morning. (aviation operator via Townsville WSO),
17,2011-05-31 03:00:00,-27.4320,153.5400,0,1,,Waterspout observed off Point Lookout at around 1pm AEST. NULL,
