Year,MM,DD,DATE,CH4(ppb),SD(ppb)
1978,4,26,1978.317800000000,1479.00,0.700000
1978,7,7,1978.515100000000,1497.10,0.700000
1979,2,6,1979.101400000000,1495.10,1.80000
1980,9,3,1980.674900000000,1540.10,0.400000
1984,5,23,1984.393400000000,1590.90,0.500000
1984,8,15,1984.620219000000,1610.74,0.139800
1984,9,15,1984.704918000000,1608.40,3.04740
1984,10,15,1984.786885000000,1605.21,2.43680
1984,11,15,1984.871585000000,1602.23,2.17320
1984,12,15,1984.953552000000,1594.78,2.78820
1985,1,15,1985.038356000000,1586.64,2.27810
1985,2,15,1985.123288000000,1581.94,3.17350
1985,3,15,1985.200000000000,1582.67,3.01970
1985,4,15,1985.284932000000,1590.09,2.91210
1985,5,15,1985.367123000000,1597.99,1.94110
1985,6,15,1985.452055000000,1602.64,3.30610
1985,7,15,1985.534247000000,1610.48,4.32430
1985,8,15,1985.619178000000,1617.98,3.62050
1985,9,15,1985.704110000000,1619.59,1.88210
1985,10,15,1985.786301000000,1619.66,2.97490
1985,11,15,1985.871233000000,1615.36,3.18500
1985,12,15,1985.953425000000,1606.19,4.80850
1986,1,15,1986.038356000000,1600.20,1.75420
1986,2,15,1986.123288000000,1598.98,2.50730
1986,3,15,1986.200000000000,1599.86,2.64660
1986,4,15,1986.284932000000,1605.37,2.76870
1986,5,15,1986.367123000000,1612.77,2.78760
1986,6,15,1986.452055000000,1618.66,2.28690
1986,7,15,1986.534247000000,1626.13,3.22150
1986,8,15,1986.619178000000,1631.92,1.51380
1986,9,15,1986.704110000000,1633.50,1.57230
1986,10,15,1986.786301000000,1632.80,1.60110
1986,11,15,1986.871233000000,1629.52,2.29140
1986,12,15,1986.953425000000,1623.02,3.50050
1987,1,15,1987.038356000000,1615.25,2.51500
1987,2,15,1987.123288000000,1611.40,1.48410
1987,3,15,1987.200000000000,1612.63,1.92710
1987,4,15,1987.284932000000,1620.23,2.96860
1987,5,15,1987.367123000000,1629.02,4.06260
1987,6,15,1987.452055000000,1633.31,2.38290
1987,7,15,1987.534247000000,1639.44,3.12830
1987,8,15,1987.619178000000,1645.34,1.82230
1987,9,15,1987.704110000000,1646.60,1.53150
1987,10,15,1987.786301000000,1646.57,1.44980
1987,11,15,1987.871233000000,1643.83,3.90330
1987,12,15,1987.953425000000,1637.50,2.84790
1988,1,15,1988.038251000000,1629.76,3.12640
1988,2,15,1988.122951000000,1622.40,2.47430
1988,3,15,1988.202186000000,1622.60,3.41830
1988,4,15,1988.286885000000,1630.17,4.67710
1988,5,15,1988.368852000000,1636.96,2.60750
1988,6,15,1988.453552000000,1642.97,2.72840
1988,7,15,1988.535519000000,1650.04,2.06780
1988,8,15,1988.620219000000,1655.05,2.37060
1988,9,15,1988.704918000000,1658.03,2.07420
