Year,MM,DD,DATE,CO2(ppm),SD(ppm)
1976,5,15,1976.368900000000,328.861,0.165000
1976,6,15,1976.453600000000,328.988,0.285000
1976,7,15,1976.535500000000,329.653,0.282000
1976,8,15,1976.620200000000,330.550,0.201000
1976,9,15,1976.704900000000,330.872,0.234000
1976,10,15,1976.786900000000,330.899,0.0150000
1976,11,15,1976.871600000000,330.883,0.243000
1976,12,15,1976.953600000000,330.677,0.187000
1977,1,15,1977.038400000000,330.529,0.235000
1977,2,15,1977.123300000000,330.543,0.198000
1977,3,15,1977.200000000000,330.724,0.119000
1977,4,15,1977.284900000000,330.805,0.178000
1977,5,15,1977.367100000000,331.007,0.132000
1977,6,15,1977.452100000000,331.500,0.203000
1977,7,15,1977.534200000000,331.800,0.206000
1977,8,15,1977.619200000000,332.327,0.216000
1977,9,15,1977.704100000000,332.940,0.113000
1977,10,15,1977.786300000000,333.034,0.199000
1977,11,15,1977.871200000000,332.778,0.226000
1977,12,15,1977.953400000000,332.377,0.259000
1978,1,15,1978.038400000000,332.094,0.201000
1978,2,15,1978.123300000000,332.175,0.245000
1978,3,15,1978.200000000000,332.398,0.198000
1978,4,15,1978.284900000000,332.474,0.201000
1978,5,15,1978.367100000000,332.646,0.200000
1978,6,15,1978.452100000000,333.015,0.102000
1978,7,15,1978.534200000000,333.317,0.236000
1978,8,15,1978.619200000000,333.926,0.363000
1978,9,15,1978.704100000000,334.977,0.387000
1978,10,15,1978.786300000000,335.333,0.203000
1978,11,15,1978.871200000000,334.826,0.203000
1978,12,15,1978.953400000000,334.531,0.197000
1979,1,15,1979.038400000000,334.498,0.211000
1979,2,15,1979.123300000000,334.585,0.210000
1979,3,15,1979.200000000000,334.763,0.198000
1979,4,15,1979.284900000000,334.703,0.217000
1979,5,15,1979.367100000000,334.626,0.177000
1979,6,15,1979.452100000000,334.889,0.197000
1979,7,15,1979.534200000000,335.452,0.265000
1979,8,15,1979.619200000000,335.936,0.172000
1979,9,15,1979.704100000000,335.981,0.213000
1979,10,15,1979.786300000000,335.979,0.0240000
1979,11,15,1979.871200000000,335.971,0.215000
1979,12,15,1979.953400000000,335.733,0.242000
1980,1,15,1980.038300000000,335.678,0.204000
1980,2,15,1980.123000000000,335.778,0.188000
1980,3,15,1980.202200000000,335.898,0.179000
1980,4,15,1980.286900000000,336.057,0.179000
1980,5,15,1980.368900000000,336.185,0.201000
1980,6,15,1980.453600000000,336.532,0.229000
1980,7,15,1980.535500000000,336.930,0.222000
1980,8,15,1980.620200000000,337.096,0.170000
1980,9,15,1980.704900000000,337.190,0.215000
1980,10,15,1980.786900000000,337.116,0.201000
1980,11,15,1980.871600000000,336.938,0.237000
1980,12,15,1980.953600000000,336.916,0.232000
1981,1,15,1981.038400000000,337.089,0.183000
1981,2,15,1981.123300000000,337.230,0.227000
1981,3,15,1981.200000000000,337.226,0.128000
1981,4,15,1981.284900000000,337.174,0.170000
1981,5,15,1981.367100000000,337.346,0.178000
1981,6,15,1981.452100000000,337.587,0.170000
1981,7,15,1981.534200000000,337.832,0.0860000
1981,8,15,1981.619200000000,338.093,0.204000
1981,9,15,1981.704100000000,338.165,0.210000
1981,10,15,1981.786300000000,338.072,0.229000
1981,11,15,1981.871200000000,338.000,0.235000
1981,12,15,1981.953400000000,337.768,0.127000
1982,1,15,1982.038400000000,337.306,0.193000
1982,2,15,1982.123300000000,337.127,0.179000
1982,3,15,1982.200000000000,337.274,0.290000
1982,4,15,1982.284900000000,337.698,0.241000
1982,5,15,1982.367100000000,338.032,0.187000
1982,6,15,1982.452100000000,338.186,0.153000
1982,7,15,1982.534200000000,338.551,0.186000
1982,8,15,1982.619200000000,338.898,0.153000
1982,9,15,1982.704100000000,338.822,0.213000
1982,10,15,1982.786300000000,338.634,0.195000
1982,11,15,1982.871200000000,338.557,0.163000
1982,12,15,1982.953400000000,338.328,0.171000
1983,1,15,1983.038400000000,338.307,0.170000
1983,2,15,1983.123300000000,338.427,0.184000
1983,3,15,1983.200000000000,338.519,0.186000
1983,4,15,1983.284900000000,339.115,0.241000
1983,5,15,1983.367100000000,339.532,0.141000
1983,6,15,1983.452100000000,339.601,0.156000
1983,7,15,1983.534200000000,340.338,0.446000
1983,8,15,1983.619200000000,341.204,0.237000
1983,9,15,1983.704100000000,341.354,0.163000
1983,10,15,1983.786300000000,341.257,0.180000
1983,11,15,1983.871200000000,341.296,0.155000
1983,12,15,1983.953400000000,341.307,0.111000
1984,1,15,1984.038300000000,341.273,0.110000
1984,2,15,1984.123000000000,341.271,0.122000
1984,3,15,1984.202200000000,341.242,0.114000
1984,4,15,1984.286900000000,341.232,0.138000
1984,5,15,1984.368900000000,341.390,0.129000
1984,6,15,1984.453600000000,341.620,0.163000
1984,7,15,1984.535500000000,341.935,0.166000
1984,8,15,1984.620200000000,342.359,0.158000
1984,9,15,1984.704900000000,342.508,0.145000
1984,10,15,1984.786900000000,342.472,0.173000
1984,11,15,1984.871600000000,342.426,0.171000
1984,12,15,1984.953600000000,342.342,0.154000
1985,1,15,1985.038400000000,342.329,0.142000
1985,2,15,1985.123300000000,342.289,0.101000
1985,3,15,1985.200000000000,342.319,0.124000
1985,4,15,1985.284900000000,342.488,0.145000
1985,5,15,1985.367100000000,342.768,0.153000
1985,6,15,1985.452100000000,343.159,0.177000
1985,7,15,1985.534200000000,343.656,0.195000
1985,8,15,1985.619200000000,344.069,0.151000
