Year,MM,DD,DATE,N2O(ppb),SD(ppb)
1978,4,26,1978.317800000000,299.190,0.230000
1978,7,7,1978.515100000000,299.550,0.190000
1980,9,3,1980.674900000000,301.660,0.0700000
1981,10,5,1981.761600000000,301.840,0.110000
1984,5,23,1984.393400000000,302.980,0.110000
1986,2,6,1986.101400000000,304.510,0.0900000
1986,11,12,1986.865800000000,304.410,0.110000
1987,1,8,1987.021900000000,304.950,0.120000
1987,5,28,1987.405500000000,305.320,0.0800000
1988,6,21,1988.472700000000,305.650,0.0600000
1989,5,19,1989.380800000000,307.060,0.0400000
1989,11,8,1989.854800000000,307.490,0.0800000
1990,2,16,1990.128800000000,307.650,0.120000
1990,4,26,1990.317800000000,307.570,0.300000
1990,5,25,1990.397300000000,307.780,0.0600000
1990,11,13,1990.868500000000,308.270,0.160000
1990,12,18,1990.964400000000,308.260,0.130000
1991,6,19,1991.465800000000,308.670,0.0400000
1992,1,16,1992.043700000000,309.440,0.0700000
1992,2,12,1992.117500000000,309.290,0.0600000
1992,3,18,1992.213100000000,309.070,0.0900000
1992,4,8,1992.270500000000,309.070,0.100000
1992,8,15,1992.620219000000,309.133,0.354100
1992,9,15,1992.704918000000,309.317,0.289500
1992,10,15,1992.786885000000,309.413,0.293600
1992,11,15,1992.871585000000,309.439,0.323400
1992,12,15,1992.953552000000,309.475,0.103000
1993,1,15,1993.038356000000,309.361,0.230500
1993,2,15,1993.123288000000,309.147,0.455400
1993,3,15,1993.200000000000,308.893,0.274700
1993,4,15,1993.284932000000,308.847,0.320500
1993,5,15,1993.367123000000,309.005,0.165100
1993,6,15,1993.452055000000,309.035,0.252000
1993,7,15,1993.534247000000,309.145,0.414200
1993,8,15,1993.619178000000,309.387,0.336300
1993,9,15,1993.704110000000,309.484,0.0828000
1993,10,15,1993.786301000000,309.639,0.264800
1993,11,15,1993.871233000000,309.655,0.415300
1993,12,15,1993.953425000000,309.465,0.0488000
1994,1,15,1994.038356000000,309.338,0.0308000
1994,2,15,1994.123288000000,309.349,0.0529000
1994,3,15,1994.200000000000,309.628,0.174900
1994,4,15,1994.284932000000,309.679,0.399000
1994,5,15,1994.367123000000,309.728,0.315600
1994,6,15,1994.452055000000,310.026,0.326300
1994,7,15,1994.534247000000,310.102,0.230400
1994,8,15,1994.619178000000,310.220,0.329500
1994,9,15,1994.704110000000,310.274,0.332700
1994,10,15,1994.786301000000,310.125,0.315000
